date,file,house,bill,state,chamber
Apr-61,jpi_October_1962.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh (Andhra Area) District Municipalities (Amendment) Bill, 1962",Andhra Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh (Andhra Area Village) Panchayats (Amendment) Bill, 1962",Andhra Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh (Andhra Area) Estates Abolition and Conversion into Ryotwari (Amendment) Bill, 1962",Andhra Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh (Telangana Area) Gram Panchayats (Amendment) Bill, 1962",Andhra Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh (Andhra Area) District Municipalities (Second Amendment) Bill, 1962",Andhra Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh Appropriation (Vote on Account) Bill, 1962",Andhra Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh Appropriation Bill, 1962",Andhra Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh Appropriation (No.2) Bill, 1962",Andhra Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh Appropriation (No.3) Bill, 1962",Andhra Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh Local Authorities Laws (Amendment) Bill, 1962",Andhra Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh Transferred Territories (Repeal and Extension of Laws) Bill, 1962",Andhra Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh (Andhra Area) Tenancy (Amendment) Bill, 1962",Andhra Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Bihar Legislature,"The Bihar State Universities (University of Bihar, Bhagalpur and Ranchi) Amendment Bill, 1962",Bihar,Legislature
Apr-61,jpi_October_1962.pdf,Bihar Legislature,"The Bihar Appropriation (Vote on Account) Bill, 1962",Bihar,Legislature
Apr-61,jpi_October_1962.pdf,Bihar Legislature,"The Bihar Appropriation Bill, 1962",Bihar,Legislature
Apr-61,jpi_October_1962.pdf,Bihar Legislature,"The Bihar Appropriation (No.2) Bill, 1962",Bihar,Legislature
Apr-61,jpi_October_1962.pdf,Gujarat Legislature,"The Gujarat Local Authorities Laws (Amendment) Bill, 1962",Gujarat,Legislature
Apr-61,jpi_October_1962.pdf,Gujarat Legislature,"The Gujarat Industrial Development Bill, 1962",Gujarat,Legislature
Apr-61,jpi_October_1962.pdf,Jammu and Kashmir Legislature,"A Bill further to amend the Jammu and Kashmir State Evacuees (Administration of Property) Act, Samvat 2006",Jammu And Kashmir,Legislature
Apr-61,jpi_October_1962.pdf,Jammu and Kashmir Legislature,"A Bill further to amend the Jammu and Kashmir Municipal Act, Samvat 2008",Jammu And Kashmir,Legislature
Apr-61,jpi_October_1962.pdf,Jammu and Kashmir Legislature,"A Bill further to amend the Prevention of Corruption Act, Samvat 2006.",Jammu And Kashmir,Legislature
Apr-61,jpi_October_1962.pdf,Jammu and Kashmir Legislature,"A Bill to amend the Jammu and Kashmir State Aid to Industries Act, 1961.",Jammu And Kashmir,Legislature
